time,cell_counts
22.626262626262626,758386.095855814
23.636363636363637,1005172.2602416113
25.151515151515152,955215.3734723865
26.666666666666668,621372.3841364343
28.181818181818183,621097.1912687797
29.6969696969697,716129.8658918742
31.212121212121215,460392.506393318
32.727272727272734,678929.5252176368
34.24242424242424,296695.6505195345
35.75757575757576,755468.8990024703
37.27272727272727,589034.6235659668
38.78787878787879,774679.2577271003
40.303030303030305,816991.444739338
41.81818181818182,345031.2056028197
43.333333333333336,439225.1986232039
44.84848484848485,522079.8612186055
46.36363636363637,369524.0940285328
47.87878787878788,422842.3355542727
49.3939393939394,325884.4070707623
50.909090909090914,327442.7731419992
52.42424242424243,650170.4517428508
53.939393939393945,773736.9530737085
55.45454545454546,293944.60355582443
56.969696969696976,465290.7718221297
58.484848484848484,488550.49112264503
60.0,265246.12494687946
